variant,test_accuracy,test_loss,precision_negative,precision_neutral,precision_positive,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,best_val_acc
variant1_no_emoji,0.8360655737704918,0.6222097778328411,0.8980477223427332,0.6967741935483871,0.7758620689655172,0.9019607843137255,0.6967741935483871,0.7627118644067796,0.9,0.6967741935483871,0.7692307692307693,0.8497267759562842
variant2_builtin_dict,0.9451706608569354,0.2698892643052756,0.9509132420091324,0.9247881355932204,0.9603854389721628,0.9074074074074074,0.9509803921568627,0.9771241830065359,0.9286510590858417,0.9377013963480129,0.968682505399568,0.9480755265068991
variant3_custom_dict,0.9419026870007262,0.29010083193209757,0.9479048697621744,0.9272727272727272,0.9508547008547008,0.9117647058823529,0.9444444444444444,0.9694989106753813,0.9294836202109938,0.9357798165137615,0.9600862998921251,0.94880174291939
